crossing time (s)	slope (V/s)	crossing number
7092.215461	-41.577506	7014
7093.243800	-41.674658	7015
7094.289919	-40.472724	7016
7095.300108	-41.283630	7017
7096.332506	-41.346554	7018
7097.362625	-42.487620	7019
7098.392592	-39.325545	7020
7099.436272	-40.547559	7021
7100.483220	-39.752764	7022
7101.496999	-41.367259	7023
7102.537082	-40.202752	7024
7103.559727	-40.633419	7025
7104.598833	-40.432364	7026
7105.615599	-40.903005	7027
7106.655468	-41.177410	7028
7107.666625	-40.136740	7029
7108.717476	-41.029261	7030
7109.737803	-40.521727	7031
7110.795846	-39.848914	7032
7111.811718	-39.790308	7033
7112.839515	-39.495173	7034
7113.885694	-40.847119	7035
7114.893747	-39.594185	7036
7115.932431	-40.502420	7037
7116.964490	-39.962034	7038
7117.984438	-40.623495	7039
7119.044596	-39.327464	7040
7120.059974	-40.018864	7041
7121.101311	-39.775163	7042
7122.102903	-40.393307	7043
7123.168551	-39.249140	7044
7124.166831	-39.224637	7045
7125.227713	-39.156479	7046
7126.248267	-39.909866	7047
7127.303683	-39.889600	7048
7128.312425	-39.324507	7049
7129.346797	-39.440381	7050
7130.376115	-40.114418	7051
7131.412167	-39.813852	7052
7132.428631	-39.415621	7053
7133.479320	-39.182516	7054
7134.494320	-39.359119	7055
7135.542979	-39.256890	7056
7136.560515	-39.561569	7057
7137.604154	-38.971686	7058
7138.633215	-39.193811	7059
7139.651898	-38.263480	7060
7140.684591	-38.915803	7061
7141.734967	-38.685807	7062
7142.765411	-39.091791	7063
7143.790246	-38.774579	7064
7144.821049	-39.038161	7065
7145.844348	-37.975248	7066
7146.880049	-38.352842	7067
7147.907767	-37.852652	7068
7148.931972	-38.603319	7069
7149.973735	-38.510758	7070
7151.026431	-38.573124	7071
7152.028098	-37.737560	7072
7153.064744	-37.978991	7073
7154.103779	-38.249330	7074
7155.120101	-38.272668	7075
7156.166943	-37.979977	7076
7157.202598	-38.431403	7077
7158.236925	-37.708135	7078
7159.239164	-37.866546	7079
7160.288899	-37.494593	7080
7161.319540	-37.914981	7081
7162.364397	-37.204469	7082
7163.369489	-37.813828	7083
7164.425189	-37.111293	7084
7165.429050	-37.893623	7085
7166.501532	-37.076778	7086
7167.506497	-38.135785	7087
7168.559866	-37.551929	7088
7169.570325	-37.482057	7089
7170.621979	-37.019118	7090
7171.632981	-37.490957	7091
7172.671818	-37.652418	7092
7173.703796	-37.881100	7093
7174.749074	-37.412125	7094
7175.758285	-37.351665	7095
7176.808834	-37.304248	7096
7177.824310	-37.253657	7097
7178.852741	-37.266933	7098
7179.874803	-36.927186	7099
7180.930243	-37.096165	7100
7181.956887	-36.986212	7101
7182.980387	-36.546166	7102
7184.016107	-36.815803	7103
7185.044351	-36.975747	7104
7186.081572	-36.949192	7105
7187.114155	-37.500153	7106
7188.141343	-36.799162	7107
7189.162965	-36.776708	7108
7190.207757	-37.061689	7109
7191.237740	-36.292805	7110
7192.266229	-36.829595	7111
7193.292892	-36.274451	7112
7194.330383	-36.796639	7113
7195.370166	-35.919278	7114
7196.400038	-36.453048	7115
7197.423776	-35.873208	7116
7198.447497	-36.373795	7117
7199.489902	-36.122764	7118
7200.507391	-36.542489	7119
7201.550348	-36.073930	7120
7202.557235	-36.079983	7121
7203.635583	-35.837020	7122
7204.628116	-36.249681	7123
7205.676138	-36.010679	7124
7206.705371	-35.958953	7125
7207.747756	-35.848340	7126
7208.754180	-35.857403	7127
7209.801515	-35.820795	7128
7210.844170	-35.889420	7129
7211.865392	-35.320086	7130
7212.892655	-35.596250	7131
7213.937308	-35.225594	7132
7214.945570	-35.950332	7133
7215.999521	-35.278155	7134
7217.033043	-35.815763	7135
7218.055091	-35.215446	7136
7219.084970	-35.505095	7137
7220.113390	-35.494275	7138
7221.144145	-35.501093	7139
7222.182283	-35.335585	7140
7223.207082	-35.881425	7141
7224.249621	-35.361321	7142
7225.270222	-34.937995	7143
7226.302619	-35.488451	7144
7227.338784	-35.611560	7145
7228.363715	-35.045329	7146
7229.402300	-35.949164	7147
7230.411071	-34.890936	7148
7231.449416	-34.621815	7149
7232.490480	-35.007789	7150
7233.518803	-35.074413	7151
7234.555450	-34.969606	7152
7235.589036	-34.538821	7153
7236.610406	-34.674046	7154
7237.647213	-34.381210	7155
7238.687113	-35.208688	7156
7239.705824	-34.633714	7157
7240.756191	-34.749314	7158
7241.781314	-34.911968	7159
7242.807639	-34.542916	7160
7243.832755	-35.027095	7161
7244.875654	-34.718470	7162
7245.891442	-34.764930	7163
7246.934499	-34.556392	7164
7247.956763	-34.786473	7165
7248.996454	-34.394274	7166
7250.017480	-34.346219	7167
7251.047185	-34.147507	7168
